Text,Question,Option A,Option B,Option C,Option D,Answer
"Tendons connect muscles to bones, allowing for movement by transmitting force from the muscle to the bone.","What is the function of tendons?","Connect muscles to bones","Stabilize joints","Produce blood cells","Provide structural support","Connect muscles to bones"
"At birth, humans have more cartilage in their skeleton, which gradually ossifies into bone as they grow.","What happens to the cartilage in the human skeleton as they grow?","It ossifies into bone","It deteriorates","It becomes more flexible","It grows into muscle","It ossifies into bone"
"The human skeleton undergoes significant changes throughout life, particularly during childhood and adolescence as bones grow and mature.","When does the human skeleton undergo significant changes?","During childhood and adolescence","In early adulthood","In middle age","In old age","During childhood and adolescence"
"Calcium and vitamin D are essential for bone health, helping to maintain strong bones and prevent conditions like rickets or osteomalacia.","What are essential for bone health?","Calcium and vitamin D","Iron and magnesium","Folic acid and vitamin A","Proteins and carbohydrates","Calcium and vitamin D"
"Weight-bearing activities such as walking, running, and strength training help improve bone density and overall skeletal health.","What activities help improve bone density?","Weight-bearing activities","Cardio activities","Stretching exercises","Breathing exercises","Weight-bearing activities"
"The human skeleton is dynamic, with bones constantly being remodeled to adapt to stress and injury.","What does the human skeleton do to adapt to stress and injury?","Bones remodel","Bones ossify","Bones fuse","Bones deteriorate","Bones remodel"
"Bone fractures are categorized into different types, such as simple, compound, or comminuted, based on their severity and nature.","How are bone fractures categorized?","Simple, compound, or comminuted","Stable and unstable","Minor and major","Hairline and complete","Simple, compound, or comminuted"
"Arthritis is a common joint disorder that causes inflammation, pain, and stiffness, often leading to reduced mobility.","What is arthritis?","A joint disorder causing inflammation, pain, and stiffness","A bone disorder causing fractures","A muscle condition causing cramps","A skin disease causing rashes","A joint disorder causing inflammation, pain, and stiffness"
"The human skeleton serves as a framework for muscle attachment, enabling movement, balance, and posture.","What is the function of the human skeleton regarding muscles?","It serves as a framework for muscle attachment","It produces muscle cells","It controls muscle movement","It stores muscle fibers","It serves as a framework for muscle attachment"
"Proper skeletal alignment is important for reducing the risk of musculoskeletal disorders and injuries.","What is important for reducing the risk of musculoskeletal disorders?","Proper skeletal alignment","Regular stretching","Excessive exercise","Overuse of joints","Proper skeletal alignment"
"The skeleton also plays a role in maintaining body shape, as the bony structure defines the body’s form.","What role does the skeleton play in body shape?","Maintaining body shape","Providing energy","Regulating temperature","Supporting muscle function","Maintaining body shape"
