Text,Question,Option A,Option B,Option C,Option D,Answer
"Pregnancy occurs when a fertilized egg implants into the lining of the uterus, and the embryo begins to develop.","What happens during pregnancy?","A fertilized egg implants into the uterus lining","The egg is released into the fallopian tube","The uterus produces eggs","The cervix expands","A fertilized egg implants into the uterus lining"
"During pregnancy, the placenta provides nutrients and oxygen to the growing fetus while also removing waste products.","What is the role of the placenta during pregnancy?","Provide nutrients, oxygen, and remove waste products","Store nutrients and oxygen","Produce hormones only","Protect the uterus","Provide nutrients, oxygen, and remove waste products"
"Male ejaculation releases sperm into the vagina, where they travel to the fallopian tubes in search of an egg to fertilize.","Where do sperm travel after ejaculation?","Fallopian tubes","Uterus","Vagina","Penis","Fallopian tubes"
"Infertility can result from issues such as hormonal imbalances, structural problems with reproductive organs, or genetic factors.","What can cause infertility?","Hormonal imbalances, structural problems, and genetic factors","Overuse of contraception","Lack of exercise","Unhealthy diet","Hormonal imbalances, structural problems, and genetic factors"
"Contraception methods, such as birth control pills, condoms, and intrauterine devices, help prevent unintended pregnancies.","What do contraception methods help prevent?","Unintended pregnancies","Sexually transmitted infections","Menstrual disorders","Erectile dysfunction","Unintended pregnancies"
"Sexually transmitted infections (STIs) can affect the reproductive system and lead to complications such as infertility or organ damage.","What can STIs cause?","Infertility or organ damage","Improved fertility","Hormonal imbalances","Regulation of menstrual cycle","Infertility or organ damage"
"Reproductive health includes the proper functioning of the reproductive organs, as well as the ability to conceive and carry a pregnancy to term.","What does reproductive health include?","Proper functioning of reproductive organs and ability to conceive","Absence of sexual activity","Menstruation","Prevention of STIs","Proper functioning of reproductive organs and ability to conceive"
"Reproductive health care also involves screening for conditions such as cervical cancer and other reproductive system disorders.","What does reproductive health care involve?","Screening for reproductive system conditions","Treatment of STIs","Hormonal therapy","Menstrual regulation","Screening for reproductive system conditions"
"Testosterone plays a role in the development of the male reproductive system and also influences mood, energy, and sexual drive.","What does testosterone influence in males?","Reproductive system development, mood, energy, and sexual drive","Menstruation and breast development","Growth of body hair","Regulation of blood sugar","Reproductive system development, mood, energy, and sexual drive"
"Estrogen and progesterone in females regulate the menstrual cycle, pregnancy, and secondary sexual characteristics such as breast development.","What do estrogen and progesterone regulate in females?","Menstrual cycle, pregnancy, and secondary sexual characteristics","Muscle mass and body hair","Blood circulation","Reproductive organs only","Menstrual cycle, pregnancy, and secondary sexual characteristics"
"The process of childbirth involves the dilation of the cervix and the contractions of the uterus to expel the baby from the body.","What happens during childbirth?","Cervix dilation and uterine contractions expelling the baby","Egg maturation and fertilization","Pregnancy completion","Hormonal changes","Cervix dilation and uterine contractions expelling the baby"
"The external genitalia of females consist of the vulva, which serves as the entry point to the reproductive tract.","What is the function of the vulva in females?","Serves as the entry point to the reproductive tract","Stores eggs","Produces hormones","Protects the ovaries","Serves as the entry point to the reproductive tract"
"In males, the penis is both an organ for sexual intercourse and the passageway for urine and semen.","What is the function of the penis in males?","Sexual intercourse and passageway for urine and semen","Production of sperm","Storage of testosterone","Regulation of sexual drive","Sexual intercourse and passageway for urine and semen"
"Testicular health is crucial, as conditions such as testicular cancer or varicocele can affect fertility and overall health.","Why is testicular health important?","It affects fertility and overall health","It regulates hormones","It produces sperm only","It determines sexual drive","It affects fertility and overall health"
"The uterus is a hollow, muscular organ where fetal development occurs during pregnancy.","Where does fetal development occur during pregnancy?","Uterus","Fallopian tube","Vagina","Ovary","Uterus"
"During ovulation, a mature egg is released from the ovary and travels into the fallopian tube, ready for potential fertilization.","What happens during ovulation?","A mature egg is released from the ovary","Sperm is produced in the testes","A fertilized egg implants in the uterus","The cervix dilates","A mature egg is released from the ovary"
"Understanding human reproductive anatomy is essential for both reproductive health and fertility treatments.","Why is understanding reproductive anatomy important?","For reproductive health and fertility treatments","To prevent STIs","To regulate menstruation","For sexual pleasure","For reproductive health and fertility treatments"
"Proper education and access to reproductive health services can improve sexual health and reduce risks of STIs and unintended pregnancies.","What can improve sexual health?","Proper education and access to reproductive health services","Abstinence","Increased physical activity","Using contraception only","Proper education and access to reproductive health services"
"Reproductive system disorders can often be managed through medications, surgery, or lifestyle changes, depending on the condition.","How can reproductive system disorders be managed?","Medications, surgery, or lifestyle changes","Abstinence only","Exercise and diet alone","Only through surgery","Medications, surgery, or lifestyle changes"
"Fertility treatments, such as in vitro fertilization (IVF), help individuals or couples struggling with infertility achieve pregnancy.","What does IVF help with?","Infertility treatment","Prevention of STIs","Regulation of menstruation","Hormonal balance","Infertility treatment"
"The human reproductive system is a complex and intricate network of organs and hormones, essential for the continuation of human life.","What is the human reproductive system essential for?","The continuation of human life","Producing hormones","Maintaining the digestive system","Regulating body temperature","The continuation of human life"
