Text,Question,Option A,Option B,Option C,Option D,Answer
"Teeth not only help with food processing but also play an important role in speech and facial appearance.","What roles do teeth play besides food processing?","Speech and facial appearance","Only speech","Only facial appearance","Only food processing","Speech and facial appearance"
"Orthodontic treatment, such as braces, is used to correct misaligned teeth and improve both function and appearance.","What is orthodontic treatment used for?","Correcting misaligned teeth","Preventing tooth decay","Whitening teeth","Strengthening enamel","Correcting misaligned teeth"
"Tooth sensitivity can occur when enamel wears down, exposing the underlying dentin, leading to pain or discomfort.","What causes tooth sensitivity?","Worn down enamel exposing dentin","Too much toothpaste","Bacterial infections","Fluoride exposure","Worn down enamel exposing dentin"
"Teeth can be affected by various conditions such as gum disease, which can lead to tooth loss if not treated promptly.","What condition can lead to tooth loss if not treated promptly?","Gum disease","Cavities","Enamel wear","Tooth sensitivity","Gum disease"
"Fluoride helps to strengthen enamel and prevent tooth decay, which is why it is often added to drinking water and toothpaste.","What does fluoride help with?","Strengthening enamel and preventing tooth decay","Whitening teeth","Reducing tooth sensitivity","Reducing cavities","Strengthening enamel and preventing tooth decay"
"Healthy teeth contribute to overall well-being, as dental issues can affect eating, speaking, and self-esteem.","What can dental issues affect?","Eating, speaking, and self-esteem","Only eating","Only speaking","Only self-esteem","Eating, speaking, and self-esteem"
"Teeth undergo constant wear and tear throughout life, but they can be protected by maintaining good oral hygiene practices.","How can teeth be protected from wear and tear?","By maintaining good oral hygiene practices","By eating less food","By avoiding fluoride","By only using mouthwash","By maintaining good oral hygiene practices"
"Cosmetic dentistry offers solutions such as teeth whitening, veneers, and bonding to improve the appearance of teeth.","What does cosmetic dentistry offer?","Teeth whitening, veneers, and bonding","Fillings and root canals","Tooth extractions","Tooth sensitivity treatments","Teeth whitening, veneers, and bonding"
"The structure of a tooth includes the crown, neck, and root, each serving a specific function in tooth health and function.","What are the main parts of a tooth?","Crown, neck, and root","Enamel and pulp","Dentin and cementum","Teeth and gums","Crown, neck, and root"
"Teeth are subject to wear from biting, grinding, and chewing, which is why regular care and attention are needed to prevent damage.","Why is regular care needed for teeth?","To prevent damage from wear during biting, grinding, and chewing","To improve tooth color","To make teeth stronger","To make teeth more sensitive","To prevent damage from wear during biting, grinding, and chewing"
"Bruxism, or teeth grinding, is a common condition that can lead to tooth wear and jaw pain if not managed properly.","What is bruxism?","Teeth grinding","Tooth sensitivity","Tooth decay","Enamel erosion","Teeth grinding"
"Dental professionals often use X-rays to assess the health of teeth and detect issues such as cavities or impacted wisdom teeth.","What do dental professionals use X-rays for?","To assess the health of teeth and detect issues","To whiten teeth","To clean teeth","To straighten teeth","To assess the health of teeth and detect issues"
"The wisdom teeth, or third molars, are the last teeth to emerge and often cause issues such as impaction or misalignment.","What issues can wisdom teeth cause?","Impaction or misalignment","Enamel wear","Tooth decay","Sensitivity","Impaction or misalignment"
"Maintaining a balanced diet and avoiding sugary foods can help protect teeth from decay and maintain good oral health.","What helps protect teeth from decay?","A balanced diet and avoiding sugary foods","Eating sugary foods","Brushing teeth too often","Skipping dental checkups","A balanced diet and avoiding sugary foods"
