Text,Question,Option A,Option B,Option C,Option D,Answer
"The calcium-sensing receptor (CaSR) in the parathyroid gland helps detect changes in calcium levels and regulate PTH secretion accordingly.",What does the calcium-sensing receptor (CaSR) do?,"It detects changes in calcium levels and regulates PTH secretion.","It increases calcium absorption in the intestines.","It reduces bone resorption.","It stimulates vitamin D production.","It detects changes in calcium levels and regulates PTH secretion."
"Bone remodeling occurs in a cyclic fashion, with bone resorption and formation happening simultaneously but at different rates.",How does bone remodeling occur?,"Bone resorption and formation happen simultaneously but at different rates.","Bone formation happens faster than resorption.","Bone resorption happens in the absence of bone formation.","Bone formation happens continuously.","Bone resorption and formation happen simultaneously but at different rates."
"Low calcium levels stimulate the secretion of parathyroid hormone, which promotes calcium release from bone and reduces kidney excretion.",What happens when calcium levels are low?,"Parathyroid hormone is secreted, promoting calcium release from bones and reducing kidney excretion.","Calcium absorption is increased in the intestines.","Calcium excretion is increased in the kidneys.","Bone formation is accelerated.","Parathyroid hormone is secreted, promoting calcium release from bones and reducing kidney excretion."
"During periods of growth, the body increases calcium absorption and bone formation to support skeletal development.",What happens during periods of growth?,"The body increases calcium absorption and bone formation.","Calcium absorption is reduced.","Bone resorption increases.","Calcium levels drop.","The body increases calcium absorption and bone formation."
"Inadequate calcium intake or impaired calcium regulation can lead to bone diseases such as osteoporosis and rickets.",What can inadequate calcium intake or impaired calcium regulation cause?,"Bone diseases like osteoporosis and rickets.","Improved bone strength.","Better calcium absorption.","Increased calcium excretion.","Bone diseases like osteoporosis and rickets."
"Through the interaction of PTH, vitamin D, and bone remodeling, calcium regulation balances the storage and release of calcium as needed by the body.",How does calcium regulation work?,"Through the interaction of PTH, vitamin D, and bone remodeling.","Through increased calcium absorption only.","By reducing bone formation.","Through calcium excretion.","Through the interaction of PTH, vitamin D, and bone remodeling."
"Calcium homeostasis is a dynamic process, with various factors like diet, hormones, and bone health influencing the system's function.",What influences calcium homeostasis?,"Diet, hormones, and bone health.","Only calcium absorption.","Only bone health.","Only kidney function.","Diet, hormones, and bone health."
"By controlling calcium flow between bones, kidneys, and intestines, the body ensures that calcium remains available for muscle function and skeletal integrity.",How does the body control calcium flow?,"By regulating calcium flow between bones, kidneys, and intestines.","By storing calcium in the bones.","By excreting calcium through urine.","By increasing bone resorption.","By regulating calcium flow between bones, kidneys, and intestines."
"Bone remodeling also contributes to the ongoing repair of bone microdamage, helping maintain bone strength while regulating calcium.",What does bone remodeling contribute to?,"The repair of bone microdamage, helping maintain bone strength and regulate calcium.","Increased calcium excretion.","Decreased calcium absorption.","Bone resorption only.","The repair of bone microdamage, helping maintain bone strength and regulate calcium."
"Calcium regulation, although complex, is essential for overall health, ensuring the proper functioning of the cardiovascular, musculoskeletal, and nervous systems.",Why is calcium regulation essential?,"It ensures the proper functioning of the cardiovascular, musculoskeletal, and nervous systems.","It only affects bone health.","It regulates hormone production only.","It has no effect on health.","It ensures the proper functioning of the cardiovascular, musculoskeletal, and nervous systems."
